benchmark,macro_f1_tasks,n_evaluated,per_task_json,setting
wildguard,0.6682697484118725,128,"{""prompt_harm"": {""accuracy"": 0.6484375, ""precision"": 0.6761904761904762, ""recall"": 0.8658536585365854, ""f1"": 0.7593582887700535, ""auprc"": 0.6714194976771196}, ""response_harm"": {""accuracy"": 0.5039370078740157, ""precision"": 0.4095238095238095, ""recall"": 0.9772727272727273, ""f1"": 0.5771812080536913, ""auprc"": 0.4080904659644817}}",single
wildguard,0.6643890816076246,128,"{""prompt_harm"": {""accuracy"": 0.6640625, ""precision"": 0.6822429906542056, ""recall"": 0.8902439024390244, ""f1"": 0.7724867724867724, ""auprc"": 0.6776751624116708}, ""response_harm"": {""accuracy"": 0.47244094488188976, ""precision"": 0.3925233644859813, ""recall"": 0.9545454545454546, ""f1"": 0.5562913907284768, ""auprc"": 0.39042942486904514}}",reflect
